run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,execution_order,run_step,timestamp
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,1,16550.0,0.0,0.7,0.0,3.13,1,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step1,2025-10-09 01:14:21.576955
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,2,16550.0,0.0,0.7,0.0,3.13,2,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step2,2025-10-09 01:15:21.576955
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,3,16550.0,0.0,0.8,0.2222222222222222,3.13,3,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step3,2025-10-09 01:16:21.576955
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,4,16100.0,0.0,0.8,0.7777777777777778,3.13,4,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step4,2025-10-09 01:17:21.576955
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,5,16100.0,0.0,0.8,1.0,3.13,5,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step5,2025-10-09 01:18:21.576955
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,6,155.04,0.5,0.8,1.0,3.07,6,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step6,2025-10-09 01:19:21.576955
037b0d87-e3b9-48cc-952b-79c6bce7bd8b,8,12620.0,0.5,0.8,1.0,3.07,7,037b0d87-e3b9-48cc-952b-79c6bce7bd8b_step8,2025-10-09 01:20:21.576955
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,1,16550.0,0.0,0.7,0.0,3.13,8,13c5e8f4-1f5b-4e32-8200-1287cf88bad2_step1,2025-10-09 01:21:21.576955
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,2,16550.0,0.0,0.7,0.0,3.13,9,13c5e8f4-1f5b-4e32-8200-1287cf88bad2_step2,2025-10-09 01:22:21.576955
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,3,16550.0,0.0,0.8,0.3333333333333333,3.13,10,13c5e8f4-1f5b-4e32-8200-1287cf88bad2_step3,2025-10-09 01:23:21.576955
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,4,17700.0,0.0,0.8,0.6666666666666666,3.13,11,13c5e8f4-1f5b-4e32-8200-1287cf88bad2_step4,2025-10-09 01:24:21.576955
13c5e8f4-1f5b-4e32-8200-1287cf88bad2,5,17700.0,0.0,0.8,0.8888888888888888,3.13,12,13c5e8f4-1f5b-4e32-8200-1287cf88bad2_step5,2025-10-09 01:25:21.576955
